X Coordinate,Y Coordinate
0.180093,0.324479
0.278241,0.154687
0.326852,0.20625
0.222222,0.214583
0.316667,0.614844
0.443056,0.623438
0.70787,0.352604
0.185648,0.307031
0.727315,0.127344
0.945833,0.378646
0.468056,0.434115
0.236111,0.513281
0.288426,0.585417
0.942593,0.36901
0.518519,0.497396
0.776852,0.321615
0.399537,0.653906
0.624074,0.17526
0.239815,0.267708
0.455093,0.409635
0.334722,0.21849
0.941667,0.36849
0.728241,0.126563
0.924074,0.377865
0.943056,0.360677
0.322685,0.625
0.393519,0.660156
0.728704,0.126302
0.948611,0.352083
0.943519,0.382552
0.938889,0.365885
0.507407,0.520052
0.168056,0.510417
0.944444,0.37526
0.277778,0.154167
0.185185,0.282552
0.942593,0.379948
0.94213,0.378385
0.200926,0.447656
0.94537,0.36875
0.551389,0.460938
0.942593,0.36875
0.505093,0.541146
0.949074,0.352865
0.57037,0.595573
0.946296,0.352865
0.941204,0.378906
0.450463,0.610417
0.613889,0.174479
0.348148,0.254427
0.945833,0.34375
0.941667,0.367448
0.942593,0.379948
0.942593,0.378646
0.333333,0.288542
0.943981,0.36849
0.435185,0.640885
0.94213,0.373698
0.944444,0.368229
0.936574,0.371354
0.214352,0.467969
0.105556,0.489844
0.943056,0.379427
0.100463,0.488802
0.948148,0.344271
0.8125,0.31276
0.943519,0.380469
0.675926,0.36875
0.947222,0.350521
0.943056,0.379167
0.943056,0.377344
0.943519,0.36901
0.940741,0.3625
0.427315,0.432031
0.297222,0.598958
0.94213,0.378646
0.94213,0.379948
0.948148,0.344271
0.943981,0.378385
0.947685,0.377604
0.521296,0.476823
0.185648,0.316667
0.547222,0.451302
0.316204,0.276042
0.941667,0.379167
0.471296,0.45599
0.735185,0.338021
0.274074,0.16901
0.563889,0.438542
0.940741,0.36224
0.942593,0.378646
0.928704,0.377604
0.591667,0.421615
0.948148,0.350781
0.944907,0.36901
0.944444,0.36901
0.942593,0.377865
0.947222,0.352865
0.944444,0.378646
0.939352,0.364323
0.94213,0.377865
0.943981,0.355729
0.946296,0.352083
0.941667,0.379427
0.59213,0.282552
0.406481,0.639844
0.76713,0.321354
0.668056,0.208333
0.948148,0.351042
0.941204,0.378906
0.383796,0.664323
0.599537,0.405469
0.360648,0.65026
0.425463,0.673177
0.941667,0.379427
0.60463,0.40651
0.722685,0.126563
0.94213,0.36849
0.943519,0.36875
0.948148,0.350781
0.943519,0.36901
0.94213,0.379948
0.433333,0.655729
0.430093,0.688281
0.574074,0.544531
0.425926,0.68125
0.535648,0.480729
0.94213,0.379687
0.617593,0.175781
0.94213,0.379167
0.951389,0.35026
0.941667,0.367448
0.942593,0.369271
0.572685,0.557292
0.303241,0.16875
0.942593,0.380208
0.459259,0.59349
0.402315,0.644531
0.718056,0.341406
0.94537,0.378906
0.75463,0.329427
0.948148,0.354688
0.280556,0.154167
0.427778,0.686198
0.833796,0.394531
0.943056,0.376042
0.943056,0.378646
0.339815,0.23724
0.440741,0.466406
0.420833,0.611719
0.942593,0.359635
0.1625,0.358594
0.154167,0.345313
0.74213,0.335938
0.339815,0.638802
0.289352,0.160417
0.611574,0.174219
0.387963,0.663542
0.261111,0.551042
0.248611,0.263542
0.247222,0.53151
0.579167,0.304427
0.943519,0.378125
0.35,0.297656
0.939815,0.384115
0.781482,0.31849
0.943981,0.379687
0.937037,0.368229
0.947222,0.376823
0.936574,0.368229
0.575463,0.535677
0.623611,0.38776
0.943981,0.377344
0.946759,0.351042
0.931481,0.374479
0.945833,0.377865
0.943056,0.357812
0.947685,0.352604
0.163889,0.490365
0.72037,0.126302
0.942593,0.379687
0.296296,0.164583
0.947222,0.377604
0.94537,0.378646
0.15787,0.46276
0.931019,0.377344
0.943981,0.377344
0.936574,0.363281
0.945833,0.36875
0.946296,0.377865
0.482407,0.5625
0.473611,0.408333
0.349537,0.645833
0.944907,0.36849
0.948148,0.344531
0.947685,0.352604
0.944907,0.354688
0.9375,0.374479
0.274537,0.56849
0.947685,0.353385
0.793056,0.317969
0.426852,0.50625
0.946759,0.35
0.94213,0.378906
0.273611,0.164062
0.111111,0.489323
0.94537,0.351042
0.763426,0.328385
0.591204,0.429167
0.568981,0.760938
0.721759,0.125521
0.939815,0.363542
0.242593,0.194531
0.940278,0.370052
0.946759,0.355208
0.940741,0.378646
0.419444,0.626302
0.939815,0.371354
0.943056,0.355469
0.94213,0.361719
0.576852,0.522656
0.942593,0.36849
0.942593,0.379687
0.943056,0.377604
0.50463,0.54375
0.948611,0.351302
0.371296,0.31224
0.941667,0.378646
0.943056,0.379167
0.170833,0.335938
0.580556,0.364583
0.943056,0.36875
0.238889,0.203385
0.942593,0.378906
0.368056,0.660156
0.376389,0.663802
0.931019,0.376823
0.943056,0.379167
0.94213,0.378125
0.938426,0.371094
0.939352,0.379427
0.941204,0.373177
0.301389,0.268229
0.575,0.56875
0.944907,0.354427
0.308333,0.273177
0.936574,0.367188
0.672222,0.361719
0.163889,0.320573
0.924537,0.376823
0.281944,0.15651
0.936111,0.365625
0.27037,0.173438
0.94213,0.379427
0.941667,0.378385
0.944444,0.36901
0.415278,0.395573
0.543519,0.348177
0.934722,0.371094
0.945833,0.373698
0.833333,0.400781
0.468981,0.578125
0.426852,0.41276
0.309259,0.185417
0.951389,0.35
0.949537,0.344531
0.318519,0.197396
0.427315,0.591146
0.945833,0.351823
0.946759,0.352865
0.610648,0.188802
0.947685,0.34974
0.942593,0.378646
0.945833,0.352083
0.578704,0.497917
0.503241,0.392969
0.395833,0.329427
0.644444,0.371615
0.943056,0.380208
0.945833,0.378906
0.443519,0.570312
0.647685,0.386198
0.110185,0.489062
0.779167,0.317969
0.207407,0.585677
0.947685,0.351042
