X Coordinate,Y Coordinate
0.518056,0.404948
0.537963,0.380208
0.486574,0.384115
0.489815,0.369792
0.527315,0.376302
0.538426,0.378125
0.558796,0.396094
0.53287,0.394531
0.465278,0.37526
0.523611,0.394271
0.510648,0.386719
0.5375,0.394531
0.530556,0.395052
0.524074,0.378906
0.539352,0.378385
0.538889,0.376823
0.497222,0.385677
0.486111,0.370313
0.523611,0.389583
0.485648,0.373698
0.481481,0.38099
0.525,0.389844
0.525,0.39375
0.473611,0.373437
0.52963,0.401302
0.461111,0.372135
0.541667,0.400521
0.488426,0.370313
0.525463,0.372917
0.462963,0.372396
0.50787,0.375521
0.464352,0.372396
0.568519,0.398958
0.484259,0.384896
0.520833,0.391927
0.539352,0.373698
0.489352,0.371094
0.505556,0.37526
0.48287,0.384896
0.5375,0.380469
0.484259,0.371094
0.5125,0.373698
0.540278,0.379427
0.489352,0.371615
0.506019,0.372656
0.475,0.380208
0.506944,0.371875
0.506944,0.375521
0.510185,0.376302
0.509722,0.380469
0.48287,0.384375
0.538426,0.392448
0.513889,0.38776
0.483796,0.370833
0.540741,0.378385
0.505556,0.372656
0.512963,0.407552
0.472685,0.373698
0.527778,0.385417
0.515278,0.376042
0.499537,0.371615
0.510185,0.409115
0.508333,0.384896
0.484722,0.370833
0.521296,0.391146
0.47037,0.37474
0.518519,0.389844
0.525,0.388281
0.531482,0.395052
0.554167,0.398177
0.532407,0.374479
0.541204,0.402604
0.484722,0.373958
0.542593,0.39974
0.540741,0.378906
0.508333,0.372656
0.525463,0.404167
0.477778,0.375781
0.537963,0.399219
0.468519,0.377083
0.511111,0.407292
0.509259,0.372656
0.536574,0.39401
0.484722,0.384635
0.475926,0.37474
0.490741,0.369271
0.506019,0.373698
0.505556,0.373958
0.505093,0.37526
0.539352,0.377083
0.489815,0.370052
0.461574,0.372656
0.517593,0.389323
0.508333,0.372396
0.533333,0.375
0.491204,0.382292
0.472222,0.37474
0.4625,0.373177
0.478704,0.37526
0.476389,0.375521
0.488426,0.371354
0.484722,0.37474
0.476852,0.376042
0.548611,0.394271
0.511111,0.386719
0.49537,0.370833
0.533796,0.400521
0.506481,0.373177
0.461574,0.372656
0.461111,0.370833
0.487037,0.382812
0.523611,0.382812
0.538889,0.37474
0.571759,0.400521
0.546296,0.395833
0.516667,0.388542
0.51713,0.376302
0.50787,0.375781
0.521759,0.403906
0.50463,0.385156
0.506019,0.37526
0.474074,0.379427
0.538889,0.394792
0.511111,0.382031
0.476852,0.380469
0.541204,0.378385
0.485185,0.373698
0.518981,0.372917
0.527315,0.386979
0.5375,0.394792
0.514815,0.407552
0.558796,0.398698
0.485185,0.385677
0.487037,0.371615
0.55463,0.397135
0.540741,0.394531
0.518519,0.40599
0.467593,0.373698
0.538889,0.377604
0.490278,0.370833
0.511574,0.376042
0.537037,0.40026
0.528704,0.403906
0.510648,0.385417
0.486574,0.384115
0.462037,0.371094
0.490278,0.370052
0.536111,0.374479
0.5125,0.386719
0.55787,0.395833
0.54213,0.401563
0.527778,0.395312
0.463426,0.374219
0.538889,0.374479
0.485185,0.370573
0.533333,0.394271
0.512037,0.375
0.559722,0.394792
0.508796,0.374479
0.462037,0.372135
0.543981,0.395312
0.506481,0.373698
0.490741,0.370313
0.510648,0.373958
0.536111,0.380729
0.505556,0.374219
0.505093,0.374219
0.481481,0.375
0.541204,0.396094
0.461574,0.371875
0.531482,0.391667
0.538889,0.395573
0.490741,0.369531
0.489815,0.369531
0.541667,0.392969
0.529167,0.373958
0.569444,0.399219
0.5125,0.374219
0.4625,0.375521
0.493056,0.370313
0.507407,0.385677
0.538426,0.376042
0.472685,0.373437
0.517593,0.404167
0.491204,0.36901
0.475926,0.376302
0.475,0.37474
0.515278,0.38776
0.490278,0.382552
0.52037,0.392448
0.509722,0.407552
0.565741,0.398438
0.535648,0.391667
0.489815,0.371615
0.555093,0.396615
0.509259,0.372135
0.525,0.389844
0.518056,0.405729
0.509722,0.410156
0.491204,0.369531
0.552778,0.396094
0.5375,0.377344
0.560185,0.399479
0.477778,0.380729
0.509259,0.373958
0.556944,0.394531
0.561574,0.39974
0.473611,0.372917
0.4625,0.375
0.540278,0.402865
0.533333,0.391927
0.488426,0.371354
0.483333,0.37526
0.494444,0.370313
0.483796,0.385156
0.528241,0.379427
0.531018,0.379687
0.561111,0.396354
0.5625,0.398958
0.531018,0.401042
0.490278,0.371094
0.535185,0.39401
0.498148,0.371354
0.50463,0.377344
0.506019,0.377865
0.512963,0.37474
0.533333,0.380208
0.484722,0.384635
0.564815,0.400781
0.515278,0.407031
0.541204,0.378646
0.485648,0.373698
0.485648,0.38125
0.523148,0.376302
0.541204,0.379167
0.539815,0.373958
0.515741,0.388542
0.55,0.391927
0.556944,0.395833
0.5375,0.396615
0.506481,0.372135
0.556019,0.396615
0.537963,0.38099
0.525,0.383333
0.555556,0.396354
0.5375,0.394531
0.475926,0.376042
0.505556,0.3875
0.518519,0.403646
0.521759,0.391667
0.523611,0.384635
0.52037,0.390625
0.50463,0.376302
0.525,0.394792
0.513889,0.372917
0.555556,0.396354
0.483796,0.370573
0.489352,0.381771
0.538889,0.375781
0.541204,0.397656
0.483333,0.370313
0.525926,0.373958
0.475,0.374479
0.518981,0.376042
0.5125,0.386979
0.512037,0.386719
0.541204,0.378385
0.506019,0.374219
0.541204,0.378385
0.486111,0.372917
0.538889,0.38125
0.489815,0.370052
0.519444,0.390365
0.51713,0.40651
0.489815,0.386458
0.538426,0.37526
0.538889,0.377344
0.517593,0.382812
0.507407,0.375521
0.554167,0.395052
0.556481,0.396354
0.508333,0.386458
0.509259,0.385417
0.541667,0.401042
0.463889,0.842708
0.526852,0.373698
0.473148,0.372917
0.473611,0.373177
0.473148,0.372917
0.5125,0.375
