sub,ses,run,movie,TR_start,TR_end
21040005,3,1,PlaceOfMyBirth,62,400
21040005,3,1,FutureBoyfriend,409,1164
21040005,3,1,Scrambled,1173,1638
21040005,3,2,Oxygen,62,817
21040005,3,2,AnObjectAtRest,826,1233
21040005,3,2,InnerWorkings,1242,1685
21040005,3,3,BorrowedTime,62,502
21040005,3,3,StrayDogs,511,1039
21040005,3,3,Paperman,1047,1501
21040005,4,1,AnObjectAtRest,62,469
21040005,4,1,Oxygen,478,1233
21040005,4,1,InnerWorkings,1242,1685
21040005,4,2,FutureBoyfriend,63,818
21040005,4,2,Scrambled,826,1289
21040005,4,2,PlaceOfMyBirth,1298,1636
21040005,4,3,StrayDogs,62,590
21040005,4,3,Paperman,598,1052
21040005,4,3,BorrowedTime,1060,1500
21040016,3,1,Oxygen,62,817
21040016,3,1,InnerWorkings,826,1269
21040016,3,1,AnObjectAtRest,1278,1685
21040016,3,2,PlaceOfMyBirth,62,400
21040016,3,2,FutureBoyfriend,409,1164
21040016,3,2,Scrambled,1173,1636
21040016,3,3,StrayDogs,62,590
21040016,3,3,Paperman,598,1052
21040016,3,3,BorrowedTime,1060,1500
21040016,4,1,Paperman,62,516
21040016,4,1,StrayDogs,524,1052
21040016,4,1,BorrowedTime,1060,1500
21040016,4,2,Scrambled,62,525
21040016,4,2,PlaceOfMyBirth,534,872
21040016,4,2,FutureBoyfriend,881,1637
21040016,4,3,Oxygen,62,817
21040016,4,3,AnObjectAtRest,826,1233
21040016,4,3,InnerWorkings,1242,1685
21040017,3,1,BorrowedTime,62,502
21040017,3,1,StrayDogs,511,1039
21040017,3,1,Paperman,1047,1501
21040017,3,2,PlaceOfMyBirth,62,400
21040017,3,2,Scrambled,409,872
21040017,3,2,FutureBoyfriend,882,1637
21040017,3,3,Oxygen,62,817
21040017,3,3,InnerWorkings,826,1269
21040017,3,3,AnObjectAtRest,1278,1685
21040017,4,1,Oxygen,53,808
21040017,4,1,InnerWorkings,811,1254
21040017,4,1,AnObjectAtRest,1262,1669
21040017,4,2,BorrowedTime,49,489
21040017,4,2,StrayDogs,495,1023
21040017,4,2,Paperman,1031,1485
21040017,4,3,FutureBoyfriend,48,804
21040017,4,3,Scrambled,805,1268
21040017,4,3,PlaceOfMyBirth,1277,1615
21040021,3,1,BorrowedTime,62,502
21040021,3,1,StrayDogs,511,1039
21040021,3,1,Paperman,1047,1501
21040021,3,2,Scrambled,62,525
21040021,3,2,PlaceOfMyBirth,534,872
21040021,3,2,FutureBoyfriend,881,1637
21040021,3,3,Oxygen,62,817
21040021,3,3,InnerWorkings,826,1269
21040021,3,3,AnObjectAtRest,1278,1685
21040021,4,1,Paperman,62,516
21040021,4,1,StrayDogs,524,1052
21040021,4,1,BorrowedTime,1060,1500
21040021,4,2,FutureBoyfriend,63,818
21040021,4,2,Scrambled,826,1289
21040021,4,2,PlaceOfMyBirth,1298,1636
21040035,3,1,PlaceOfMyBirth,62,400
21040035,3,1,Scrambled,409,872
21040035,3,1,FutureBoyfriend,881,1637
21040035,3,2,Paperman,62,516
21040035,3,2,StrayDogs,524,1052
21040035,3,2,BorrowedTime,1060,1500
21040035,3,3,AnObjectAtRest,62,469
21040035,3,3,Oxygen,478,1233
21040035,3,3,InnerWorkings,1242,1685
21040035,4,1,Scrambled,62,525
21040035,4,1,PlaceOfMyBirth,534,872
21040035,4,1,FutureBoyfriend,881,1636
21040035,4,2,AnObjectAtRest,62,469
21040035,4,2,Oxygen,478,1233
21040035,4,2,InnerWorkings,1242,1685
21040035,4,3,StrayDogs,62,590
21040035,4,3,BorrowedTime,598,1038
21040035,4,3,Paperman,1046,1500
21040033,3,1,Scrambled,62,525
21040033,3,1,PlaceOfMyBirth,534,872
21040033,3,1,FutureBoyfriend,881,1636
21040033,3,2,Paperman,62,516
21040033,3,2,StrayDogs,525,1053
21040033,3,2,BorrowedTime,1061,1501
21040033,3,3,AnObjectAtRest,62,469
21040033,3,3,Oxygen,478,1233
21040033,3,3,InnerWorkings,1242,1685
21040033,4,1,StrayDogs,62,590
21040033,4,1,BorrowedTime,598,1038
21040033,4,1,Paperman,1046,1500
21040033,4,2,Oxygen,62,817
21040033,4,2,InnerWorkings,826,1269
21040033,4,2,AnObjectAtRest,1278,1685
21040033,4,3,FutureBoyfriend,63,818
21040033,4,3,PlaceOfMyBirth,826,1164
21040033,4,3,Scrambled,1173,1636
21040036,3,1,InnerWorkings,62,505
21040036,3,1,AnObjectAtRest,514,921
21040036,3,1,Oxygen,930,1685
21040036,3,2,PlaceOfMyBirth,62,400
21040036,3,2,Scrambled,409,872
21040036,3,2,FutureBoyfriend,881,1636
21040036,3,3,StrayDogs,62,590
21040036,3,3,BorrowedTime,598,1038
21040036,3,3,Paperman,1046,1500
21040036,4,1,BorrowedTime,62,502
21040036,4,1,Paperman,511,965
21040036,4,1,StrayDogs,973,1501
21040036,4,2,PlaceOfMyBirth,62,400
21040036,4,2,FutureBoyfriend,409,1165
21040036,4,2,Scrambled,1173,1636
21040036,4,3,Oxygen,62,817
21040036,4,3,InnerWorkings,826,1269
21040036,4,3,AnObjectAtRest,1278,1685
21040040,3,1,InnerWorkings,62,505
21040040,3,1,AnObjectAtRest,514,921
21040040,3,1,Oxygen,930,1685
21040040,3,2,Scrambled,62,525
21040040,3,2,PlaceOfMyBirth,534,872
21040040,3,2,FutureBoyfriend,881,1637
21040040,3,3,Paperman,62,516
21040040,3,3,BorrowedTime,524,964
21040040,3,3,StrayDogs,972,1500
21040040,4,1,InnerWorkings,62,505
21040040,4,1,Oxygen,514,1269
21040040,4,1,AnObjectAtRest,1278,1685
21040040,4,2,PlaceOfMyBirth,62,400
21040040,4,2,FutureBoyfriend,409,1165
21040040,4,2,Scrambled,1173,1636
21040040,4,3,Paperman,62,516
21040040,4,3,BorrowedTime,524,964
21040040,4,3,StrayDogs,972,1500
21040042,3,1,StrayDogs,62,590
21040042,3,1,BorrowedTime,598,1038
21040042,3,1,Paperman,1046,1500
21040042,3,2,AnObjectAtRest,62,469
21040042,3,2,InnerWorkings,478,921
21040042,3,2,Oxygen,930,1685
21040042,3,3,PlaceOfMyBirth,62,400
21040042,3,3,Scrambled,409,872
21040042,3,3,FutureBoyfriend,881,1637
21040042,4,1,FutureBoyfriend,62,818
21040042,4,1,Scrambled,826,1289
21040042,4,1,PlaceOfMyBirth,1298,1636
21040042,4,2,AnObjectAtRest,62,469
21040042,4,2,InnerWorkings,478,921
21040042,4,2,Oxygen,930,1685
21040042,4,3,BorrowedTime,62,502
21040042,4,3,Paperman,510,964
21040042,4,3,StrayDogs,972,1500
21040047,3,1,InnerWorkings,62,505
21040047,3,1,AnObjectAtRest,514,921
21040047,3,1,Oxygen,930,1685
21040047,3,2,Scrambled,62,525
21040047,3,2,FutureBoyfriend,534,1290
21040047,3,2,PlaceOfMyBirth,1298,1636
21040047,3,3,StrayDogs,62,590
21040047,3,3,Paperman,598,1052
21040047,3,3,BorrowedTime,1060,1500
21040047,4,1,BorrowedTime,62,502
21040047,4,1,StrayDogs,511,1039
21040047,4,1,Paperman,1047,1501
21040047,4,2,Scrambled,62,525
21040047,4,2,PlaceOfMyBirth,534,872
21040047,4,2,FutureBoyfriend,881,1636
21040047,4,3,InnerWorkings,62,505
21040047,4,3,Oxygen,514,1269
21040047,4,3,AnObjectAtRest,1278,1685
21040045,3,1,PlaceOfMyBirth,62,400
21040045,3,1,FutureBoyfriend,409,1164
21040045,3,1,Scrambled,1173,1636
21040045,3,2,AnObjectAtRest,62,469
21040045,3,2,Oxygen,478,1233
21040045,3,2,InnerWorkings,1242,1685
21040045,3,3,BorrowedTime,65,505
