x,y
-0.6343229167,0.76
-0.6343229167,0.76
0.6303645833,0.76
0.6303645833,0.76
-0.6343229167,-0.7494444444
-0.6343229167,-0.7494444444
0.6303645833,-0.7494444444
0.6303645833,-0.7494444444
0,0
0,0
-0.4057291667,0.3325
-0.4057291667,0.3325
0.4057291667,0.3325
0.4057291667,0.3325
-0.40671875,-0.3325
0.4057291667,-0.3325
0.4057291667,-0.3325
0,0
0,0
-0.6343229167,0.76
-0.6343229167,0.76
0.6303645833,0.76
0.6303645833,0.76
-0.6343229167,-0.7494444444
-0.6343229167,-0.7494444444
0.6303645833,-0.7494444444
0.6303645833,-0.7494444444
0,0
0,0
-0.4057291667,0.3325
0.4057291667,0.3325
0.4057291667,0.3325
-0.40671875,-0.3325
-0.40671875,-0.3325
0.4057291667,-0.3325
0.4057291667,-0.3325
0,0
0,0
-0.6343229167,0.76
-0.6343229167,0.76
0.6303645833,0.76
0.6303645833,0.76
-0.6343229167,-0.7494444444
-0.6343229167,-0.7494444444
0.6303645833,-0.7494444444
0,0
0,0
-0.4057291667,0.3325
-0.4057291667,0.3325
0.4057291667,0.3325
0.4057291667,0.3325
-0.40671875,-0.3325
-0.40671875,-0.3325
0.4057291667,-0.3325
0.4057291667,-0.3325
0,0
0,0
-0.6343229167,0.76
-0.6343229167,0.76
0.6303645833,0.76
-0.6343229167,-0.7494444444
-0.6343229167,-0.7494444444
0.6303645833,-0.7494444444
0.6303645833,-0.7494444444
0,0
0,0
-0.4057291667,0.3325
-0.4057291667,0.3325
0.4057291667,0.3325
0.4057291667,0.3325
-0.40671875,-0.3325
-0.40671875,-0.3325
0.4057291667,-0.3325
0.4057291667,-0.3325
0,0
